1,35.21,142.4,4,32.02,122.98,6,101,7.94,26.49,1,0,4,0
4,32.02,122.98,1,35.21,142.4,0,47,7.54,22.76,1,0,15,1
4,32.02,122.98,3,26.82,125.88,6,101,7.94,26.49,1,0,6,0
3,26.82,125.88,4,32.02,122.98,6,152,7.45,22.71,1,0,4,0
4,32.02,122.98,3,26.82,125.88,6,103,7.85,21.77,1,0,9,0
4,32.02,122.98,3,26.82,125.88,5,215,7.9,27.1,1,0,17,0
4,32.02,122.98,3,26.82,125.88,6,152,7.45,22.71,1,1,5,0
4,32.02,122.98,3,26.82,125.88,3,17,8.75,26.35,1,1,11,0
4,32.02,122.98,3,26.82,125.88,6,152,7.45,22.71,1,1,9,0
4,32.02,122.98,3,26.82,125.88,0,47,7.54,22.76,1,1,4,0
3,26.82,125.88,4,32.02,122.98,0,61,7.64,25.72,1,1,10,1
3,26.82,125.88,3,25.88,129.01,6,103,7.85,21.77,1,1,8,0
3,25.88,129.01,3,26.82,125.88,0,47,7.54,22.76,1,1,17,0
3,25.88,129.01,3,26.82,125.88,5,215,7.9,27.1,1,1,8,0
3,26.82,125.88,3,25.88,129.01,6,103,7.85,21.77,1,1,19,0
3,26.82,125.88,3,25.88,129.01,6,152,7.45,22.71,1,2,4,1
5,21.23,140.04,3,25.88,129.01,6,101,7.94,26.49,1,2,7,0
5,21.23,140.04,3,25.88,129.01,0,47,7.54,22.76,1,2,15,0
5,21.23,140.04,3,25.88,129.01,6,101,7.94,26.49,1,2,12,1
5,21.34,151.18,5,21.23,140.04,5,215,7.9,27.1,1,2,16,0
1,40.3,148.29,2,25.99,125.03,6,162,7.7,22.54,0,0,11,0
1,40.3,148.29,2,25.99,125.03,6,158,7.08,23.5,0,0,1,0
1,40.3,148.29,2,25.99,125.03,6,162,7.7,22.54,0,0,16,0
2,25.99,125.03,1,40.3,148.29,6,158,7.08,23.5,0,0,14,0
1,40.3,148.29,2,25.99,125.03,0,91,8.94,32.36,0,0,4,0
2,25.99,125.03,1,40.3,148.29,5,200,6.07,15.65,0,0,6,1
1,40.3,148.29,5,31.72,136.86,3,10,7.85,49.6,0,1,7,1
5,31.72,136.86,5,23.77,136.28,5,200,6.07,15.65,0,1,13,0
5,31.72,136.86,5,23.77,136.28,0,91,8.94,32.36,0,1,10,0
5,23.77,136.28,5,31.72,136.86,6,107,8.31,30.26,0,1,12,0
5,31.72,136.86,5,23.77,136.28,6,162,7.7,22.54,0,1,12,0
5,23.77,136.28,5,31.72,136.86,6,107,8.31,30.26,0,1,6,1
5,31.72,136.86,4,29.82,139.61,5,200,6.07,15.65,0,1,8,1
5,21.23,130.42,4,29.82,139.61,0,65,6.45,23.24,0,1,4,1
5,19.04,124.74,4,29.82,139.61,5,200,6.07,15.65,0,1,9,0
5,19.04,124.74,4,29.82,139.61,0,91,8.94,32.36,0,2,12,0
4,29.82,139.61,5,19.04,124.74,6,158,7.08,23.5,0,2,3,1
4,29.82,139.61,0,11.66,100,6,162,7.7,22.54,0,2,2,2
0,4.25,87.93,0,5.87,64.38,6,158,7.08,23.5,0,2,8,1
0,5.87,64.38,0,8.42,89.39,0,91,8.94,32.36,0,2,7,1
3,22.87,122.43,4,29.79,144.54,6,132,7.66,26.06,0,0,10,0
4,29.79,144.54,3,22.87,122.43,3,40,7.51,24.22,0,0,8,0
3,22.87,122.43,4,29.79,144.54,6,132,7.66,26.06,0,0,9,0
3,22.87,122.43,4,29.79,144.54,0,58,8.21,32.62,0,0,13,0
3,22.87,122.43,4,29.79,144.54,5,272,7.08,20.76,0,0,7,1
1,32.64,133.52,4,29.79,144.54,3,40,7.51,24.22,0,0,13,0
1,32.64,133.52,4,29.79,144.54,5,272,7.08,20.76,0,1,2,2
3,26.46,125.96,5,27.31,135.63,0,58,8.21,32.62,0,1,3,0
3,26.46,125.96,5,27.31,135.63,6,109,7.29,21.84,0,1,10,0
5,27.31,135.63,3,26.46,125.96,6,105,7.18,27.45,0,1,6,0
3,26.46,125.96,5,27.31,135.63,6,109,7.29,21.84,0,1,8,0
3,26.46,125.96,5,27.31,135.63,6,105,7.18,27.45,0,1,3,1
5,27.44,148.12,5,27.31,135.63,0,58,8.21,32.62,0,1,9,0
5,27.31,135.63,5,27.44,148.12,6,105,7.18,27.45,0,1,5,1
1,30.14,150.48,5,27.31,135.63,5,272,7.08,20.76,0,1,9,0
1,30.14,150.48,5,27.31,135.63,6,109,7.29,21.84,0,2,7,1
1,30.14,150.48,5,26.23,131.86,5,272,7.08,20.76,0,2,10,0
5,26.23,131.86,1,30.14,150.48,6,132,7.66,26.06,0,2,7,0
5,26.23,131.86,1,30.14,150.48,0,58,8.21,32.62,0,2,9,1
5,26.23,131.86,0,11.44,150.22,6,132,7.66,26.06,0,2,28,1
3,30.24,118.52,2,23.4,130.79,5,178,8.29,27.19,1,0,7,0
3,30.24,118.52,2,23.4,130.79,0,87,7.93,26.55,1,0,14,0
3,30.24,118.52,2,23.4,130.79,5,178,8.29,27.19,1,0,12,0
2,23.4,130.79,3,30.24,118.52,5,199,8.42,25.1,1,0,4,1
3,30.24,118.52,3,29.81,125.48,6,150,7.17,22.65,1,0,4,0
3,29.81,125.48,3,30.24,118.52,5,199,8.42,25.1,1,0,16,0
3,30.24,118.52,3,29.81,125.48,0,87,7.93,26.55,1,1,4,0
3,29.81,125.48,3,30.24,118.52,0,52,6.93,25.46,1,1,10,0
3,30.24,118.52,3,29.81,125.48,0,87,7.93,26.55,1,1,9,0
3,30.24,118.52,3,29.81,125.48,0,52,6.93,25.46,1,1,11,0
